                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    134,                0.67396,                0.35675,                0.84829,                0.98185,                0.92955,                0.98055,                0.75289,                 1.0135,                0.43877,                0.97294,              0.0047332,              0.0047332,              0.0047332
                    135,                0.68194,                0.35556,                0.85374,                0.94411,                0.93385,                0.98773,                 0.7611,                0.96388,                0.44103,                0.95548,              0.0046936,              0.0046936,              0.0046936
                    136,                0.69468,                 0.3622,                0.86086,                0.92914,                0.95641,                0.98773,                0.76652,                0.94757,                 0.4306,                0.95246,               0.004654,               0.004654,               0.004654
                    137,                 0.6781,                0.35636,                0.85906,                0.91536,                0.95006,                0.97882,                0.74897,                 1.0024,                0.45739,                0.97059,              0.0046144,              0.0046144,              0.0046144
                    138,                0.68826,                0.35848,                0.85931,                0.93633,                0.95807,                 0.9784,                0.75366,                0.99781,                0.45143,                0.97428,              0.0045748,              0.0045748,              0.0045748
                    139,                0.68821,                 0.3543,                0.85422,                 0.9411,                0.94651,                0.97967,                0.74246,                0.98979,                0.45329,                0.96707,              0.0045352,              0.0045352,              0.0045352
                    140,                0.67754,                0.35772,                0.85819,                0.92516,                0.96863,                0.96659,                0.75689,                0.97881,                0.46387,                0.96038,              0.0044956,              0.0044956,              0.0044956
                    141,                0.66307,                 0.3479,                 0.8482,                0.92639,                0.97999,                0.98936,                0.76092,                0.95773,                0.41991,                0.96866,               0.004456,               0.004456,               0.004456
                    142,                0.67795,                0.34825,                0.85093,                0.93508,                0.96108,                 0.9828,                0.75737,                0.99729,                0.44715,                0.97641,              0.0044164,              0.0044164,              0.0044164
                    143,                0.67937,                0.34761,                0.85102,                0.92457,                0.96467,                0.98246,                0.75265,                0.97199,                 0.4325,                0.95527,              0.0043768,              0.0043768,              0.0043768
                    144,                0.66353,                0.34436,                0.85445,                0.93738,                0.92825,                0.98257,                0.76473,                0.96745,                0.44027,                 0.9536,              0.0043372,              0.0043372,              0.0043372
                    145,                0.66634,                0.34656,                0.84479,                0.92491,                0.95144,                0.97805,                0.76043,                0.96913,                0.44121,                0.95471,              0.0042976,              0.0042976,              0.0042976
                    146,                0.65963,                0.34457,                0.85705,                0.90731,                0.96285,                0.97893,                0.74916,                0.97982,                0.45474,                0.96396,               0.004258,               0.004258,               0.004258
                    147,                0.65906,                0.34987,                0.84871,                0.93485,                0.92076,                0.96346,                0.72503,                 1.0107,                 0.4801,                0.96688,              0.0042184,              0.0042184,              0.0042184
                    148,                0.67334,                0.34884,                0.85134,                0.91475,                0.94293,                0.97837,                0.74665,                  1.005,                0.46321,                0.96531,              0.0041788,              0.0041788,              0.0041788
                    149,                0.67558,                0.35545,                0.84067,                0.96438,                0.93691,                0.98773,                0.74616,                 1.0097,                0.41491,                0.97105,              0.0041392,              0.0041392,              0.0041392
                    150,                0.64648,                0.33651,                 0.8486,                0.95097,                0.92638,                0.98936,                 0.7541,                0.99355,                0.43145,                0.97223,              0.0040996,              0.0040996,              0.0040996
                    151,                0.65567,                0.34864,                 0.8469,                 0.9493,                0.94276,                0.98704,                0.76577,                0.97626,                0.44262,                0.96439,                0.00406,                0.00406,                0.00406
                    152,                0.65082,                0.33872,                0.84241,                0.97403,                0.91976,                0.98172,                0.75327,                0.95498,                0.42756,                0.95299,              0.0040204,              0.0040204,              0.0040204
